source,mode,threshold,small_object_policy,candidate,images_with_predictions,vehicle_annotations,predictions,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large
aitod,absolute,24.0,exclude_with_ignore_protection,aitod_baseline640,1869,2033,322617,0.1682667602868122,0.23893504161381787,0.202892280673887,0.11462706949004191,0.33848835560224183,-1.0
aitod,absolute,24.0,exclude_without_ignore_protection,aitod_baseline640,1869,2033,322617,0.1682667602868122,0.23893504161381787,0.202892280673887,0.11462706949004191,0.33848835560224183,-1.0
aitod,absolute,24.0,include_all,aitod_baseline640,1869,16900,322617,0.11656709312033554,0.23432042216957372,0.09911969968034813,0.11158242199850489,0.33848835560224183,-1.0
aitod,normalized,0.015,exclude_with_ignore_protection,aitod_baseline640,1869,9353,322617,0.14162855660138624,0.2510579838036577,0.14113062232790258,0.13096225760950062,0.33848835560224183,-1.0
aitod,normalized,0.015,exclude_without_ignore_protection,aitod_baseline640,1869,9353,322617,0.14162855660138624,0.2510579838036577,0.14113062232790258,0.13096225760950062,0.33848835560224183,-1.0
aitod,normalized,0.015,include_all,aitod_baseline640,1869,16900,322617,0.11656709312033554,0.23432042216957372,0.09911969968034813,0.11158242199850489,0.33848835560224183,-1.0
uavdt,absolute,24.0,exclude_with_ignore_protection,uavdt_tiling,305,10516,110508,0.09540932032587486,0.2420975884224911,0.0373490362234418,0.12276273450974791,0.07154432535951374,0.0
uavdt,absolute,24.0,exclude_without_ignore_protection,uavdt_tiling,305,10516,110508,0.09540932032587486,0.2420975884224911,0.0373490362234418,0.12276273450974791,0.07154432535951374,0.0
uavdt,absolute,24.0,include_all,uavdt_tiling,305,11054,110508,0.09836644980071821,0.24931814067992886,0.03869910553511047,0.12441722623444502,0.07154432535951374,0.0
uavdt,normalized,0.015,exclude_with_ignore_protection,uavdt_tiling,305,8243,110508,0.060572544009378566,0.1526071288044782,0.02423892426694748,0.08161449161294619,0.07154432535951374,0.0
uavdt,normalized,0.015,exclude_without_ignore_protection,uavdt_tiling,305,8243,110508,0.060572544009378566,0.1526071288044782,0.02423892426694748,0.08161449161294619,0.07154432535951374,0.0
uavdt,normalized,0.015,include_all,uavdt_tiling,305,11054,110508,0.09836644980071821,0.24931814067992886,0.03869910553511047,0.12441722623444502,0.07154432535951374,0.0
visdrone,absolute,24.0,exclude_with_ignore_protection,visdrone_sahi640,548,12496,93432,0.4779819760921149,0.7599875143846693,0.5056516146997804,0.2277928839999446,0.5572684550838471,0.6669296633373372
visdrone,absolute,24.0,exclude_without_ignore_protection,visdrone_sahi640,548,12496,93593,0.4779082520084234,0.7598214881769311,0.5055933420759627,0.2277532540499202,0.5571918465893674,0.6668494446298839
visdrone,absolute,24.0,include_all,visdrone_sahi640,548,17040,93593,0.4138265434637234,0.7182570369109975,0.4149489517376862,0.2430464524019807,0.5571952241486128,0.6668494446298839
visdrone,normalized,0.015,exclude_with_ignore_protection,visdrone_sahi640,548,13583,93432,0.4704644377192755,0.764221813750588,0.4919184095966462,0.2670162371028061,0.5572718136174034,0.6669296633373372
visdrone,normalized,0.015,exclude_without_ignore_protection,visdrone_sahi640,548,13583,93593,0.4703835779806002,0.7640363155301113,0.4918555757256562,0.2669645505296562,0.5571952014625865,0.6668494446298839
visdrone,normalized,0.015,include_all,visdrone_sahi640,548,17040,93593,0.4138265434637234,0.7182570369109975,0.4149489517376862,0.2430464524019807,0.5571952241486128,0.6668494446298839
