source,candidate,resolution,artifact_group,coverage_conditioned,mode,threshold,contract_min,contract_max,contract_range,path_signature
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,absolute,24.0,0.14228265032554577,0.647629702139561,0.5053470518140152,-+0
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,normalized,0.015,0.48567782189449804,0.647629702139561,0.1619518802450629,-+0
AI-TOD,Base-640,640,aitod_baseline_multires,True,absolute,24.0,0.18686213701719764,0.6433347647383596,0.4564726277211619,-+0
AI-TOD,Base-640,640,aitod_baseline_multires,True,normalized,0.015,0.5490321293155059,0.6433347647383596,0.09430263542285366,-+0
AI-TOD,Base-960,960,aitod_baseline_multires,True,absolute,24.0,0.16238723108952116,0.6728689249736024,0.5104816938840813,-+0
AI-TOD,Base-960,960,aitod_baseline_multires,True,normalized,0.015,0.5326980432094275,0.6728689249736024,0.14017088176417491,-+0
UAVDT,Base-1280,1280,uavdt_baseline_multires,False,absolute,24.0,0.5488778550148957,0.5581612413954031,0.009283386380507408,-+0
UAVDT,Base-1280,1280,uavdt_baseline_multires,False,normalized,0.015,0.5575395264689688,0.5593655052677268,0.00182597879875801,-+0
UAVDT,Base-640,640,uavdt_baseline_multires,False,absolute,24.0,0.5669753783600633,0.5699660291311834,0.0029906507711201513,++0
UAVDT,Base-640,640,uavdt_baseline_multires,False,normalized,0.015,0.5669753783600633,0.570472260430995,0.003496882070931684,++0
UAVDT,Base-960,960,uavdt_baseline_multires,False,absolute,24.0,0.598424515235457,0.6035022417731156,0.005077726537658589,-+0
UAVDT,Base-960,960,uavdt_baseline_multires,False,normalized,0.015,0.6035022417731156,0.6056779624618821,0.0021757206887664804,++0
UAVDT,Tile-960,960,uavdt_tiling,False,absolute,24.0,0.5215847210164943,0.5363214837712519,0.014736762754757549,-+0
UAVDT,Tile-960,960,uavdt_tiling,False,normalized,0.015,0.5322549134528973,0.5363214837712519,0.0040665703183545565,-+0
VisDrone,ASD,1280,vd_asd,False,absolute,24.0,0.759850348848967,0.8697195324254465,0.10986918357647957,-++
VisDrone,ASD,1280,vd_asd,False,normalized,0.015,0.8331998768093625,0.867309973391466,0.03411009658210351,-++
VisDrone,B-1280,1280,vd_b1280,False,absolute,24.0,0.703624871001032,0.8228239553477146,0.11919908434668258,-++
VisDrone,B-1280,1280,vd_b1280,False,normalized,0.015,0.777426129137212,0.8263070200257788,0.04888089088856684,-++
VisDrone,B-640,640,vd_b640,False,absolute,24.0,0.7358922944714982,0.8118506814141813,0.07595838694268309,-++
VisDrone,B-640,640,vd_b640,False,normalized,0.015,0.7718649913771864,0.806742245420393,0.03487725404320652,+++
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,0.8080371380984444,0.8926558095834638,0.08461867148501945,-++
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,0.8389952080090346,0.8830775311244319,0.04408232311539728,+++
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,0.7473420225354103,0.8553871032949262,0.10804508075951591,-++
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,0.8140910259706865,0.8488504591460554,0.03475943317536889,-++
