source,candidate,resolution,artifact_group,coverage_conditioned,mode,threshold,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1
UAVDT,Base-960,960,uavdt_baseline_multires,False,absolute,24.0,F,305,11054,10516,6913,5675,3603,0,0.598424515235457
UAVDT,Base-960,960,uavdt_baseline_multires,False,absolute,24.0,R,305,11054,10516,6913,5484,3603,191,0.603412909701916
UAVDT,Base-960,960,uavdt_baseline_multires,False,absolute,24.0,S,305,11054,10516,6913,5484,3603,191,0.603412909701916
UAVDT,Base-960,960,uavdt_baseline_multires,False,normalized,0.015,A,305,11054,11054,7134,5454,3920,0,0.6035022417731156
UAVDT,Base-960,960,uavdt_baseline_multires,False,normalized,0.015,F,305,11054,10767,7051,5537,3716,0,0.6038107471633484
UAVDT,Base-960,960,uavdt_baseline_multires,False,normalized,0.015,R,305,11054,10767,7051,5465,3716,72,0.6056779624618821
UAVDT,Base-960,960,uavdt_baseline_multires,False,normalized,0.015,S,305,11054,10767,7051,5465,3716,72,0.6056779624618821
UAVDT,Tile-960,960,uavdt_tiling,False,absolute,24.0,A,305,11054,11054,6940,7886,4114,0,0.5363214837712519
UAVDT,Tile-960,960,uavdt_tiling,False,absolute,24.0,F,305,11054,10516,6609,8217,3907,0,0.5215847210164943
UAVDT,Tile-960,960,uavdt_tiling,False,absolute,24.0,R,305,11054,10516,6609,7894,3907,323,0.5283184779567529
UAVDT,Tile-960,960,uavdt_tiling,False,absolute,24.0,S,305,11054,10516,6609,7894,3907,323,0.5283184779567529
UAVDT,Tile-960,960,uavdt_tiling,False,normalized,0.015,A,305,11054,11054,6940,7886,4114,0,0.5363214837712519
UAVDT,Tile-960,960,uavdt_tiling,False,normalized,0.015,F,305,11054,10767,6811,8015,3956,0,0.5322549134528973
UAVDT,Tile-960,960,uavdt_tiling,False,normalized,0.015,R,305,11054,10767,6811,7888,3956,127,0.5349092908191314
UAVDT,Tile-960,960,uavdt_tiling,False,normalized,0.015,S,305,11054,10767,6811,7888,3956,127,0.5349092908191314
VisDrone,ASD,1280,vd_asd,False,absolute,24.0,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
VisDrone,ASD,1280,vd_asd,False,absolute,24.0,F,548,17040,12496,11272,5901,1224,0,0.759850348848967
VisDrone,ASD,1280,vd_asd,False,absolute,24.0,R,548,17040,12496,11272,2658,1224,3243,0.8530992204646939
VisDrone,ASD,1280,vd_asd,False,absolute,24.0,S,548,17040,12496,11272,2153,1224,3748,0.8697195324254465
VisDrone,ASD,1280,vd_asd,False,normalized,0.015,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
VisDrone,ASD,1280,vd_asd,False,normalized,0.015,F,548,17040,15297,13527,3646,1770,0,0.8331998768093625
VisDrone,ASD,1280,vd_asd,False,normalized,0.015,R,548,17040,15297,13527,2874,1770,772,0.8534923339011925
VisDrone,ASD,1280,vd_asd,False,normalized,0.015,S,548,17040,15297,13527,2369,1770,1277,0.867309973391466
VisDrone,B-1280,1280,vd_b1280,False,absolute,24.0,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
VisDrone,B-1280,1280,vd_b1280,False,absolute,24.0,F,548,17040,12496,10909,7603,1587,0,0.703624871001032
VisDrone,B-1280,1280,vd_b1280,False,absolute,24.0,R,548,17040,12496,10909,4048,1587,3555,0.7947401012639784
VisDrone,B-1280,1280,vd_b1280,False,absolute,24.0,S,548,17040,12496,10909,3111,1587,4492,0.8228239553477146
VisDrone,B-1280,1280,vd_b1280,False,normalized,0.015,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
VisDrone,B-1280,1280,vd_b1280,False,normalized,0.015,F,548,17040,15297,13142,5370,2155,0,0.777426129137212
VisDrone,B-1280,1280,vd_b1280,False,normalized,0.015,R,548,17040,15297,13142,4308,2155,1062,0.8026384096253092
VisDrone,B-1280,1280,vd_b1280,False,normalized,0.015,S,548,17040,15297,13142,3370,2155,2000,0.8263070200257788
VisDrone,B-640,640,vd_b640,False,absolute,24.0,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
VisDrone,B-640,640,vd_b640,False,absolute,24.0,F,548,17040,12496,10276,5156,2220,0,0.7358922944714982
VisDrone,B-640,640,vd_b640,False,absolute,24.0,R,548,17040,12496,10276,2836,2220,2320,0.802561699468916
VisDrone,B-640,640,vd_b640,False,absolute,24.0,S,548,17040,12496,10276,2543,2220,2613,0.8118506814141813
VisDrone,B-640,640,vd_b640,False,normalized,0.015,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
VisDrone,B-640,640,vd_b640,False,normalized,0.015,F,548,17040,15297,12133,3299,3164,0,0.7896775033356113
VisDrone,B-640,640,vd_b640,False,normalized,0.015,R,548,17040,15297,12133,2943,3164,356,0.7989332630955125
VisDrone,B-640,640,vd_b640,False,normalized,0.015,S,548,17040,15297,12133,2649,3164,650,0.806742245420393
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,F,548,17040,12496,11401,4322,1095,0,0.8080371380984444
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,R,548,17040,12496,11401,1992,1095,2330,0.8807601684112943
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,S,548,17040,12496,11401,1647,1095,2675,0.8926558095834638
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
