source,mode,threshold,transition,configurations,delta_f1_min,delta_f1_max,positive,negative,zero,contract_range_min,contract_range_max,distinct_path_signatures
AI-TOD,absolute,24.0,A->F,3,-0.5104816938840813,-0.4564726277211619,0,3,0,0.4564726277211619,0.5104816938840813,1
AI-TOD,absolute,24.0,F->R,3,0.14495036407476353,0.19201061935641614,3,0,0,0.4564726277211619,0.5104816938840813,1
AI-TOD,absolute,24.0,R->S,3,0.0,0.0,0,0,3,0.4564726277211619,0.5104816938840813,1
AI-TOD,normalized,0.015,A->F,3,-0.1619518802450629,-0.09430263542285366,0,3,0,0.09430263542285366,0.1619518802450629,1
AI-TOD,normalized,0.015,F->R,3,0.08593832858700512,0.10281354231517548,3,0,0,0.09430263542285366,0.1619518802450629,1
AI-TOD,normalized,0.015,R->S,3,0.0,0.0,0,0,3,0.09430263542285366,0.1619518802450629,1
UAVDT,absolute,24.0,A->F,4,-0.014736762754757549,0.00014042476074049848,1,3,0,0.0029906507711201513,0.014736762754757549,2
UAVDT,absolute,24.0,F->R,4,0.002850226010379653,0.006733756940258573,4,0,0,0.0029906507711201513,0.014736762754757549,2
UAVDT,absolute,24.0,R->S,4,0.0,0.0,0,0,4,0.0029906507711201513,0.014736762754757549,2
UAVDT,normalized,0.015,A->F,4,-0.0040665703183545565,0.00250466557988549,2,2,0,0.00182597879875801,0.0040665703183545565,2
UAVDT,normalized,0.015,F->R,4,0.000992216491046194,0.002654377366234084,4,0,0,0.00182597879875801,0.0040665703183545565,2
UAVDT,normalized,0.015,R->S,4,0.0,0.0,0,0,4,0.00182597879875801,0.0040665703183545565,2
VisDrone,absolute,24.0,A->F,5,-0.09295478696476456,-0.030958069910590247,0,5,0,0.07595838694268309,0.11919908434668258,1
VisDrone,absolute,24.0,F->R,5,0.0666694049974178,0.09324887161572692,5,0,0,0.07595838694268309,0.11919908434668258,1
VisDrone,absolute,24.0,R->S,5,0.009288981945265284,0.02808385408373615,5,0,0,0.07595838694268309,0.11919908434668258,1
VisDrone,normalized,0.015,A->F,5,-0.019153528828584565,0.02535037548548502,2,3,0,0.03411009658210351,0.04888089088856684,2
VisDrone,normalized,0.015,F->R,5,0.008781940277787226,0.025212280488097205,5,0,0,0.03411009658210351,0.04888089088856684,2
VisDrone,normalized,0.015,R->S,5,0.007808982324880476,0.023668610400469636,5,0,0,0.03411009658210351,0.04888089088856684,2
