source,candidate,resolution,artifact_group,coverage_conditioned,mode,threshold,transition,component,delta_tp,delta_fp,delta_fn,delta_neutralized,f1_before,f1_after,delta_f1
VisDrone,B-640,640,vd_b640,False,normalized,0.015,R->S,source,0,-294,0,294,0.7989332630955125,0.806742245420393,0.007808982324880476
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,A->F,target,-2343,2343,-2201,0,0.8389952080090346,0.8080371380984444,-0.030958069910590247
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,F->R,removed,0,-2330,0,2330,0.8080371380984444,0.8807601684112943,0.07272303031284999
VisDrone,Y11m,640,vd_y11m,False,absolute,24.0,R->S,source,0,-345,0,345,0.8807601684112943,0.8926558095834638,0.011895641172169458
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,A->F,target,-338,338,-1405,0,0.8389952080090346,0.8643455834945196,0.02535037548548502
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,F->R,removed,0,-312,0,312,0.8643455834945196,0.8731275237723068,0.008781940277787226
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,R->S,source,0,-346,0,346,0.8731275237723068,0.8830775311244319,0.009950007352125034
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,A->F,target,-2847,2847,-1697,0,0.8172880840054786,0.7473420225354103,-0.06994606147006832
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,F->R,removed,0,-3108,0,3108,0.7473420225354103,0.8395032337420149,0.09216121120660459
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,R->S,source,0,-468,0,468,0.8395032337420149,0.8553871032949262,0.015883869552911323
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,A->F,target,-762,762,-981,0,0.8172880840054786,0.8140910259706865,-0.0031970580347920885
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,F->R,removed,0,-805,0,805,0.8140910259706865,0.8357145213976969,0.021623495427010364
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,R->S,source,0,-469,0,469,0.8357145213976969,0.8488504591460554,0.013135937748358528
