candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,delta_target,delta_removed,delta_source,contract_range,images,scored_gt_terminal
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,density,dense,2,-0.025788164259642476,0.033613498753149784,0.02172637593993021,0.05533987469307999,181,9080
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,density,moderate,1,-0.009901906865432575,0.013414490558071646,0.027010553399446025,0.04042504395751767,180,4688
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,density,sparse,0,-0.006318724977883994,0.00959994495927985,0.025214198286413803,0.03481414324569365,187,1529
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,-0.03890421503828667,0.04674472145057884,0.027897800819360774,0.07464252226993962,170,7074
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,-0.0005791582538550166,0.001559418835524018,0.01813483097209978,0.019694249807623798,170,2812
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,-0.004152556664189344,0.005589671812033403,0.02070735201644147,0.026297023828474875,170,5402
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,occlusion,high,2,-0.019666351769122237,0.023202044006384703,0.022422305413531962,0.045624349419916665,172,6563
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,occlusion,low,0,-0.01875142451334766,0.0228524588155814,0.017254671749041606,0.040107130564623006,181,3916
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,occlusion,middle,1,-0.019184825341675205,0.029714960964561388,0.030355897613806082,0.06007085857836747,166,4818
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,large,2,-0.0008220861639640642,0.0006406120884845379,0.009509501194381653,0.010150113282866191,168,3680
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,medium,1,-0.006433231773260162,0.007710134648978406,0.021533225116387,0.029243359765365406,173,5746
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,small,0,-0.04516182952100667,0.05351444496897617,0.03405471912033897,0.08756916408931514,178,5871
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,dense,2,-0.03906929691451699,0.07858745080954543,0.005625489460023281,0.08421294026956871,181,7183
