candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,images,scored_gt,tp,fp,fn,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts,f1
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,occlusion,middle,1,166,4818,4128,1019,690,6.13855421686747,14.321295143212952,80.20205945210802,0.8284997491219267
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,large,2,168,3680,3288,789,392,4.696428571428571,10.652173913043478,80.64753495217072,0.8477504189764085
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,medium,1,173,5746,5003,1249,743,7.219653179190751,12.930734423947094,80.02239283429303,0.8339723287214535
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,target_size,small,0,178,5871,4851,1326,1020,7.449438202247191,17.373530914665302,78.53326857697911,0.8052788844621513
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,dense,2,181,7183,5924,1641,1259,9.066298342541437,17.527495475428093,78.30799735624586,0.8033631678871711
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,moderate,1,180,3991,3279,672,712,3.7333333333333334,17.840140315710347,82.9916476841306,0.8257365902795266
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,sparse,0,187,1322,1073,230,249,1.2299465240641712,18.835098335854767,82.34842670759785,0.8175238095238095
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,170,5100,4008,1214,1092,7.141176470588236,21.41176470588235,76.75220222137112,0.7765936833946909
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,170,2665,2351,359,314,2.111764705882353,11.782363977485929,86.75276752767527,0.8747906976744186
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,170,4723,3912,966,811,5.682352941176471,17.171289434681345,80.19680196801968,0.8149151130090616
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,high,2,172,5301,4212,1218,1089,7.0813953488372094,20.543293718166385,77.56906077348066,0.7850153760134191
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,low,0,181,3286,2882,557,404,3.0773480662983426,12.294583079732197,83.80343123000873,0.8571003717472119
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,middle,1,166,3909,3182,767,727,4.620481927710843,18.598106932719364,80.57736135730565,0.8098752863324001
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,large,2,168,3618,3148,642,470,3.8214285714285716,12.99060254284135,83.06068601583114,0.8498920086393088
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,medium,1,173,5037,4156,1023,881,5.913294797687861,17.49056978360135,80.24715195983781,0.8136256851996868
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,small,0,178,3841,2972,877,869,4.926966292134831,22.624316584222857,77.21486100285789,0.7729518855656697
