candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,high,2,S,172,7275,5301,4666,991,635,1528,0.8516152582588064,5.761627906976744,11.978871910960196,82.48188085557716
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,low,0,A,181,4259,4259,3806,647,453,0,0.8737373737373737,3.574585635359116,10.63629960084527,85.47046934650797
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,low,0,F,181,4259,3286,3091,1362,195,0,0.7988112159193694,7.524861878453039,5.934266585514303,69.41387828430271
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,low,0,R,181,4259,3286,3091,622,195,740,0.883269038434062,3.43646408839779,5.934266585514303,83.24804740102343
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,low,0,S,181,4259,3286,3091,497,195,865,0.899330811754437,2.74585635359116,5.934266585514303,86.14827201783723
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,middle,1,A,166,5506,5506,4567,963,939,0,0.8276549474447263,5.801204819277109,17.054122775154376,82.58589511754069
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,middle,1,F,166,5506,3909,3515,2015,394,0,0.7447822862591377,12.13855421686747,10.079304169864415,63.5623869801085
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,middle,1,R,166,5506,3909,3515,878,394,1137,0.8467839074921706,5.289156626506024,10.079304169864415,80.01365809241976
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,middle,1,S,166,5506,3909,3515,661,394,1354,0.8695114409400123,3.9819277108433737,10.079304169864415,84.17145593869732
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,large,2,A,168,3689,3689,3431,603,258,0,0.888514825844879,3.5892857142857144,6.9937652480346975,85.05205751115518
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,large,2,F,168,3689,3618,3379,655,239,0,0.8831677992681651,3.8988095238095237,6.605859590934218,83.76301437778879
