rule_id,coordinate,threshold,stratifier,stratum,stratum_order,configurations,images,delta_target_median,delta_target_min,delta_target_max,delta_removed_median,delta_removed_min,delta_removed_max,contract_range_median,contract_range_min,contract_range_max
absolute_max_side,absolute,24.0,density,dense,2,5,181,-0.08180085314311658,-0.1105287244412434,-0.029438625182191314,0.11065751239696486,0.07858745080954543,0.1131088156698915,0.12515165861147037,0.08421294026956871,0.13716431895328052
absolute_max_side,absolute,24.0,density,moderate,1,5,180,-0.05390338651147375,-0.07022839994443086,-0.03267546291498857,0.06533246536965953,0.050001651263015146,0.06645071613662978,0.08463944234512766,0.0645061782075591,0.09623829453297472
absolute_max_side,absolute,24.0,density,sparse,0,5,187,-0.050727918596419785,-0.05648201564579447,-0.031757832567014366,0.05324899608887257,0.04697739826900105,0.058406478497654124,0.07210738142478101,0.0613574952179603,0.08167283621245469
absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,5,170,-0.11875644800117946,-0.15614146873636692,-0.041780796090965966,0.14591068318314648,0.10532433330835345,0.15302947579404125,0.16820313372987583,0.11329206982414897,0.1823350645632904
absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,5,170,-0.016441757222705355,-0.017166753659543676,-0.012436935483397193,0.018631901602452206,0.017303717964485488,0.019743370741541755,0.03462980281381767,0.031079949423925224,0.03765581103564897
absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,5,170,-0.04773213849152136,-0.0574585287231858,-0.03889164435747572,0.0515501884560563,0.04334662997966143,0.0558694990766444,0.06793108286239347,0.05174695069926838,0.07475215256954959
absolute_max_side,absolute,24.0,occlusion,high,2,5,172,-0.06871830335780926,-0.09438949871116442,-0.021506619046398723,0.09116574409145706,0.0620773757090769,0.09273212426192678,0.10421817352390328,0.06954060108561211,0.11809400454346453
absolute_max_side,absolute,24.0,occlusion,low,0,5,181,-0.06697708944258285,-0.08532991030843373,-0.042191062341657926,0.08197029655063148,0.06584965263932285,0.08445782251469258,0.09546666683793859,0.07405458992408998,0.10308606076232096
absolute_max_side,absolute,24.0,occlusion,middle,1,5,166,-0.0751738385420605,-0.09803567826449222,-0.03513427684277459,0.09692318005292122,0.07335418291622198,0.10200162123303291,0.12062324784772016,0.0860354319192973,0.13298108912273865
absolute_max_side,absolute,24.0,target_size,large,2,5,168,-0.004655163507624405,-0.00570959175479735,-0.0031335748538241504,0.005596622153979602,0.005162535021881021,0.0068624917893879145,0.013061012142937423,0.011134114350356827,0.015741485115979614
absolute_max_side,absolute,24.0,target_size,medium,1,5,173,-0.046967737601397275,-0.05636475936474272,-0.032369506717122576,0.052242500273184,0.04079503600601908,0.05307530951123629,0.0695801561409155,0.051406519679283336,0.07634455713276478
absolute_max_side,absolute,24.0,target_size,small,0,5,178,-0.15583891696423668,-0.19863060281863398,-0.07246812790924573,0.1770673786338488,0.13803546939421985,0.19030919732787333,0.21206898238418392,0.14785986747754265,0.22499562908453785
normalized_max_side,normalized,0.015,density,dense,2,5,181,-0.0025904616176118944,-0.025788164259642476,0.033483265751588,0.026906180974486382,0.01214727952641148,0.033613498753149784,0.04062208182946736,0.036608268790376375,0.05533987469307999
normalized_max_side,normalized,0.015,density,moderate,1,5,180,-0.0010264927700930349,-0.009901906865432575,0.013083301797169988,0.010129454078515843,0.004123477437343648,0.013414490558071646,0.031316775266912455,0.026719467854514067,0.04042504395751767
normalized_max_side,normalized,0.015,density,sparse,0,5,187,-0.0020521682547555153,-0.0075102217418997474,0.011777608239557535,0.008889158969372812,0.0033120802738508814,0.011129717613910795,0.027277014089337248,0.02265949010279722,0.03481414324569365
normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,5,170,-0.006650635740017563,-0.03890421503828667,0.046199284875487856,0.037847986299016645,0.016530162553592298,0.04674472145057884,0.054048288810750966,0.05017608701195264,0.07464252226993962
normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,5,170,-0.0001691765848919058,-0.0005791582538550166,0.001338076917643427,0.0015110593930967031,0.0008998876517253285,0.0018156913261216934,0.016608721054131248,0.014854448462271463,0.019694249807623798
normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,5,170,-0.0007166546604656654,-0.004152556664189344,0.004815602536760943,0.004752997898823219,0.002561604267456885,0.005589671812033403,0.01834940979302757,0.013132411952462397,0.026297023828474875
normalized_max_side,normalized,0.015,occlusion,high,2,5,172,-0.000633654345699397,-0.019666351769122237,0.026827586830570405,0.018510257790221862,0.007221866972470847,0.023202044006384703,0.03342305471349927,0.028720356614163278,0.045624349419916665
