rule_id,coordinate,threshold,stratifier,stratum,stratum_order,images,ASD,Y11m,y11m_minus_asd_f1
absolute_max_side,absolute,24.0,density,dense,2,181,0.8649260690022645,0.8898882529299537,0.02496218392768912
absolute_max_side,absolute,24.0,density,moderate,1,180,0.8811905342766528,0.9001103076357396,0.01891977335908679
absolute_max_side,absolute,24.0,density,sparse,0,187,0.8615725359911407,0.8851974898486527,0.023624953857511954
absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,170,0.8441423581610498,0.8738295202239599,0.02968716206291011
absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,170,0.9058459297031506,0.9183748169838946,0.012528887280743972
absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,170,0.8780835881753313,0.898876404494382,0.020792816319050722
absolute_max_side,absolute,24.0,occlusion,high,2,172,0.8516152582588064,0.8803569768522822,0.02874171859347585
absolute_max_side,absolute,24.0,occlusion,low,0,181,0.899330811754437,0.9148404177084866,0.015509605954049599
absolute_max_side,absolute,24.0,occlusion,middle,1,166,0.8695114409400123,0.8907815631262525,0.021270122186240137
absolute_max_side,absolute,24.0,target_size,large,2,168,0.8989092843841447,0.9140865835678863,0.015177299183741555
absolute_max_side,absolute,24.0,target_size,medium,1,173,0.8706715132963458,0.8980904130943103,0.027418899797964413
absolute_max_side,absolute,24.0,target_size,small,0,178,0.8412838263058527,0.8655150351887396,0.02423120888288688
normalized_max_side,normalized,0.015,density,dense,2,181,0.8620671140939598,0.8774416787587901,0.015374564664830337
normalized_max_side,normalized,0.015,density,moderate,1,180,0.8802698145025295,0.8945066666666667,0.01423685216413717
normalized_max_side,normalized,0.015,density,sparse,0,187,0.8590909090909091,0.8810687520364939,0.021977842945584802
normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,170,0.8438352332330932,0.8582056892778993,0.014370456044806135
normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,170,0.9031809490700504,0.9159237895472819,0.01274284047723151
normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,170,0.8797696184305256,0.8976074800623338,0.017837861631808227
normalized_max_side,normalized,0.015,occlusion,high,2,172,0.8473121517843698,0.8649700365787221,0.017657884794352263
normalized_max_side,normalized,0.015,occlusion,low,0,181,0.8978427969253657,0.9120948417202673,0.014252044794901608
normalized_max_side,normalized,0.015,occlusion,middle,1,166,0.8696270704196728,0.8837160751565762,0.014089004736903443
normalized_max_side,normalized,0.015,target_size,large,2,168,0.8973922159612109,0.9124570219518646,0.01506480599065374
normalized_max_side,normalized,0.015,target_size,medium,1,173,0.872452445652174,0.8933913043478261,0.02093885869565215
normalized_max_side,normalized,0.015,target_size,small,0,178,0.84298081819725,0.8532223796033994,0.010241561406149402
