candidate,short_candidate,rule_id,coordinate,definition,threshold,primary,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F,548,17040,12491,11363,5810,1128,0,0.76611380798274
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R,548,17040,12491,11363,2682,1128,3128,0.856421465179379
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,S,548,17040,12491,11363,2178,1128,3632,0.8730024585125998
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,F,548,17040,12496,11272,5901,1224,0,0.759850348848967
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,R,548,17040,12496,11272,2658,1224,3243,0.8530992204646939
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,S,548,17040,12496,11272,2153,1224,3748,0.8697195324254465
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,F,548,17040,12601,11556,5617,1045,0,0.7762477329213407
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,R,548,17040,12601,11556,2694,1045,2923,0.8607500651744814
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,S,548,17040,12601,11556,2191,1045,3426,0.8771823288295126
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F,548,17040,15296,13517,3656,1779,0,0.8326095660476146
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R,548,17040,15296,13517,2877,1779,779,0.8530766803408015
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,S,548,17040,15296,13517,2372,1779,1284,0.8668911335578002
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,F,548,17040,15297,13527,3646,1770,0,0.8331998768093625
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,R,548,17040,15297,13527,2874,1770,772,0.8534923339011925
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,S,548,17040,15297,13527,2369,1770,1277,0.867309973391466
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A,548,17040,17040,14296,2877,2744,0,0.8357057258936661
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F,548,17040,15391,13575,3598,1816,0,0.8337427834418376
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R,548,17040,15391,13575,2882,1816,716,0.8524868123587038
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,S,548,17040,15391,13575,2377,1816,1221,0.8662221229620649
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F,548,17040,12491,10965,7547,1526,0,0.7073509015256588
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R,548,17040,12491,10965,4033,1526,3514,0.7977736549165121
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,S,548,17040,12491,10965,3097,1526,4450,0.8258953790532143
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,F,548,17040,12496,10909,7603,1587,0,0.703624871001032
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,R,548,17040,12496,10909,4048,1587,3555,0.7947401012639784
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,S,548,17040,12496,10909,3111,1587,4492,0.8228239553477146
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,F,548,17040,12601,11133,7379,1468,0,0.7156494070002892
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,R,548,17040,12601,11133,4012,1468,3367,0.8024940531968572
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,S,548,17040,12601,11133,3078,1468,4301,0.8304490526629867
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F,548,17040,15296,13133,5379,2163,0,0.7769167061050639
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R,548,17040,15296,13133,4311,2163,1068,0.8022602321319486
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,S,548,17040,15296,13133,3373,2163,2006,0.8259228979309478
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,F,548,17040,15297,13142,5370,2155,0,0.777426129137212
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,R,548,17040,15297,13142,4308,2155,1062,0.8026384096253092
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,S,548,17040,15297,13142,3370,2155,2000,0.8263070200257788
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A,548,17040,17040,14160,4352,2880,0,0.7965796579657966
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F,548,17040,15391,13192,5320,2199,0,0.7782202165000147
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R,548,17040,15391,13192,4317,2199,1003,0.8019452887537994
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,S,548,17040,15391,13192,3379,2199,1941,0.8254802578061448
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F,548,17040,12491,10408,5024,2083,0,0.7454786376821975
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R,548,17040,12491,10408,2840,2083,2184,0.8087338280430475
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,S,548,17040,12491,10408,2547,2083,2477,0.8180460583195787
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,F,548,17040,12496,10276,5156,2220,0,0.7358922944714982
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,R,548,17040,12496,10276,2836,2220,2320,0.802561699468916
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,S,548,17040,12496,10276,2543,2220,2613,0.8118506814141813
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,F,548,17040,12601,10624,4808,1977,0,0.7579638283451646
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,R,548,17040,12601,10624,2830,1977,1978,0.815505661101516
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,S,548,17040,12601,10624,2537,1977,2271,0.8247806847294464
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F,548,17040,15296,12127,3305,3169,0,0.7893126789898464
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R,548,17040,15296,12127,2948,3169,357,0.7985907609232491
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,S,548,17040,15296,12127,2654,3169,651,0.8063969145858962
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,F,548,17040,15297,12133,3299,3164,0,0.7896775033356113
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,R,548,17040,15297,12133,2943,3164,356,0.7989332630955125
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,S,548,17040,15297,12133,2649,3164,650,0.806742245420393
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A,548,17040,17040,12532,2900,4508,0,0.7718649913771864
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F,548,17040,15391,12148,3284,3243,0,0.7882425461506019
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R,548,17040,15391,12148,2943,3243,341,0.797060560330687
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,S,548,17040,15391,12148,2649,3243,635,0.8048231085199417
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F,548,17040,12491,11528,4195,963,0,0.8171829588147728
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R,548,17040,12491,11528,1985,963,2210,0.8866328257191202
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,S,548,17040,12491,11528,1640,963,2555,0.8985541135663899
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,F,548,17040,12496,11401,4322,1095,0,0.8080371380984444
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,R,548,17040,12496,11401,1992,1095,2330,0.8807601684112943
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,S,548,17040,12496,11401,1647,1095,2675,0.8926558095834638
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,F,548,17040,12601,11710,4013,891,0,0.8268606129077813
