candidate,short_candidate,rule_id,coordinate,definition,threshold,primary,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,R,548,17040,12601,11710,1969,891,2044,0.89117199391172
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,S,548,17040,12601,11710,1624,891,2389,0.9030267977636399
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F,548,17040,15296,13407,2316,1889,0,0.8644379251426545
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R,548,17040,15296,13407,2003,1889,313,0.8732495277795871
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,S,548,17040,15296,13407,1657,1889,659,0.883201581027668
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,F,548,17040,15297,13406,2317,1891,0,0.8643455834945196
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,R,548,17040,15297,13406,2005,1891,312,0.8731275237723068
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,S,548,17040,15297,13406,1659,1891,658,0.8830775311244319
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A,548,17040,17040,13744,1979,3296,0,0.8389952080090346
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F,548,17040,15391,13417,2306,1974,0,0.8624413447322749
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R,548,17040,15391,13417,2004,1974,302,0.8708944567051798
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,S,548,17040,15391,13417,1658,1974,648,0.8807851375303617
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F,548,17040,12491,10676,5139,1815,0,0.7543277043736311
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R,548,17040,12491,10676,2122,1815,3017,0.8443196646763415
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,S,548,17040,12491,10676,1654,1815,3485,0.8602393134845494
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,F,548,17040,12496,10579,5236,1917,0,0.7473420225354103
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,R,548,17040,12496,10579,2128,1917,3108,0.8395032337420149
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,S,548,17040,12496,10579,1660,1917,3576,0.8553871032949262
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,F,548,17040,12601,10892,4923,1709,0,0.7666103603603603
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,R,548,17040,12601,10892,2145,1709,2778,0.8496762617988922
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,S,548,17040,12601,10892,1678,1709,3245,0.865440387747805
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F,548,17040,15296,12651,3164,2645,0,0.8132814760052715
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R,548,17040,15296,12651,2347,2645,817,0.8352148940384234
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,S,548,17040,15296,12651,1878,2645,1286,0.8483487007544007
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,F,548,17040,15297,12664,3151,2633,0,0.8140910259706865
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,R,548,17040,15297,12664,2346,2633,805,0.8357145213976969
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,S,548,17040,15297,12664,1877,2633,1274,0.8488504591460554
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F,548,17040,15391,12703,3112,2688,0,0.8141383067358842
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R,548,17040,15391,12703,2358,2688,754,0.8342965979246026
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,S,548,17040,15391,12703,1890,2688,1222,0.8473185699039488
