candidate,short_candidate,rule_id,coordinate,definition,threshold,primary,transition,component,delta_tp,delta_fp,delta_fn,delta_neutralized,delta_f1
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-2933,2933,-1616,0,-0.06959191791092612
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-3128,0,3128,0.09030765719663902
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-504,0,504,0.016580993333220828
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-3024,3024,-1520,0,-0.07585537704469913
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-3243,0,3243,0.09324887161572692
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-505,0,505,0.016620311960752643
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-2740,2740,-1699,0,-0.059457992972325346
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-2923,0,2923,0.08450233225314063
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-503,0,503,0.016432263655031254
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-779,779,-965,0,-0.003096159846051494
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-779,0,779,0.020467114293186928
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-505,0,505,0.013814453216998701
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-769,769,-974,0,-0.002505849084303624
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-772,0,772,0.02029245709183003
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-505,0,505,0.013817639490273481
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-721,721,-928,0,-0.0019629424518284866
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-716,0,716,0.018744028916866218
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-505,0,505,0.013735310603361084
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-3195,3195,-1354,0,-0.08922875644013772
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-3514,0,3514,0.09042275339085326
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-936,0,936,0.02812172413670222
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-3251,3251,-1293,0,-0.09295478696476456
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-3555,0,3555,0.09111523026294643
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-937,0,937,0.02808385408373615
