confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.5,20.0,0.002250700505933234,visdrone,visdrone_sahi640,absolute,
0.5,24.0,0.021771481852866814,visdrone,visdrone_sahi640,absolute,
0.5,28.0,0.04478681655029926,visdrone,visdrone_sahi640,absolute,
0.5,32.0,0.06855549018076568,visdrone,visdrone_sahi640,absolute,
0.5,40.0,0.11857360469826772,visdrone,visdrone_sahi640,absolute,
0.5,48.0,0.1846524022867595,visdrone,visdrone_sahi640,absolute,
0.5,64.0,0.3312531381352391,visdrone,visdrone_sahi640,absolute,
0.1,16.0,0.0003827449547608164,uavdt,uavdt_tiling,absolute,
0.1,20.0,0.0023745410377830622,uavdt,uavdt_tiling,absolute,
0.1,24.0,0.015695231232350282,uavdt,uavdt_tiling,absolute,
0.1,28.0,0.09445823415828586,uavdt,uavdt_tiling,absolute,
0.1,32.0,0.1987480284823543,uavdt,uavdt_tiling,absolute,
0.1,40.0,0.3169993718094219,uavdt,uavdt_tiling,absolute,
0.1,48.0,0.3329599020129703,uavdt,uavdt_tiling,absolute,
0.1,64.0,0.38780110427850006,uavdt,uavdt_tiling,absolute,
0.15,16.0,0.00025127750821229977,uavdt,uavdt_tiling,absolute,
0.15,20.0,0.0021953926659085687,uavdt,uavdt_tiling,absolute,
0.15,24.0,0.016356761819650734,uavdt,uavdt_tiling,absolute,
0.15,28.0,0.10138637542203921,uavdt,uavdt_tiling,absolute,
0.15,32.0,0.2159516955665302,uavdt,uavdt_tiling,absolute,
0.15,40.0,0.34988151415969077,uavdt,uavdt_tiling,absolute,
0.15,48.0,0.3672738024378005,uavdt,uavdt_tiling,absolute,
0.15,64.0,0.4259435976668005,uavdt,uavdt_tiling,absolute,
0.2,16.0,8.860728447535049e-05,uavdt,uavdt_tiling,absolute,
0.2,20.0,0.0018458958147410387,uavdt,uavdt_tiling,absolute,
0.2,24.0,0.015835663340190154,uavdt,uavdt_tiling,absolute,
0.2,28.0,0.10520999153468619,uavdt,uavdt_tiling,absolute,
0.2,32.0,0.2282170720488687,uavdt,uavdt_tiling,absolute,
0.2,40.0,0.37544085992403053,uavdt,uavdt_tiling,absolute,
0.2,48.0,0.39384770290770604,uavdt,uavdt_tiling,absolute,
0.2,64.0,0.4535362887669256,uavdt,uavdt_tiling,absolute,
0.25,16.0,5.706702072949543e-05,uavdt,uavdt_tiling,absolute,
0.25,20.0,0.0015741738229164692,uavdt,uavdt_tiling,absolute,
0.25,24.0,0.01473676275475766,uavdt,uavdt_tiling,absolute,
0.25,28.0,0.1083242202172926,uavdt,uavdt_tiling,absolute,
0.25,32.0,0.23892406735787802,uavdt,uavdt_tiling,absolute,
0.25,40.0,0.3989907294192209,uavdt,uavdt_tiling,absolute,
0.25,48.0,0.4179998208722057,uavdt,uavdt_tiling,absolute,
0.25,64.0,0.477578558540391,uavdt,uavdt_tiling,absolute,
0.3,16.0,3.3030852927384835e-05,uavdt,uavdt_tiling,absolute,
0.3,20.0,0.0010244673274286686,uavdt,uavdt_tiling,absolute,
0.3,24.0,0.01333384010104599,uavdt,uavdt_tiling,absolute,
0.3,28.0,0.11022959516623215,uavdt,uavdt_tiling,absolute,
0.3,32.0,0.24826127790147928,uavdt,uavdt_tiling,absolute,
0.3,40.0,0.4207675378942286,uavdt,uavdt_tiling,absolute,
0.3,48.0,0.4394926310279768,uavdt,uavdt_tiling,absolute,
0.3,64.0,0.49382921196978663,uavdt,uavdt_tiling,absolute,
0.35,16.0,6.9530611389923e-05,uavdt,uavdt_tiling,absolute,
0.35,20.0,0.0006961592826755236,uavdt,uavdt_tiling,absolute,
0.35,24.0,0.011375016432986662,uavdt,uavdt_tiling,absolute,
0.35,28.0,0.11140775320554869,uavdt,uavdt_tiling,absolute,
0.35,32.0,0.25727228443935196,uavdt,uavdt_tiling,absolute,
0.35,40.0,0.4439354270978223,uavdt,uavdt_tiling,absolute,
