source,candidate,mode,threshold,vehicle_boxes,retained_boxes,retained_support,f1_min,f1_max,f1_policy_band,nondegenerate_retained_ge_0_20
visdrone,visdrone_baseline640,absolute,24.0,17040,12496,0.7333333333333333,0.3557974310315083,0.4330283288192665,0.07723089778775821,True
uavdt,uavdt_baseline640,absolute,24.0,11054,10516,0.9513298353537181,0.3354352632872001,0.3436879834757604,0.008252720188560325,True
aitod,aitod_baseline640,absolute,24.0,59904,5783,0.0965377938034188,0.0641683872028649,0.3868501968447369,0.32268180964187204,False
visdrone,visdrone_baseline640,normalized,0.015,17040,15297,0.8977112676056338,0.3786392795460153,0.4330283288192665,0.05438904927325122,True
uavdt,uavdt_baseline640,normalized,0.015,11054,10767,0.9740365478559797,0.2711988147130188,0.3436879834757604,0.07248916876274158,True
aitod,aitod_baseline640,normalized,0.015,59904,48523,0.810012686965812,0.256466455012812,0.3868501968447369,0.13038374183192492,True
