source,candidate,policy,max_dets,images,images_truncated,detections_truncated,max_pre_cap_detections
visdrone,visdrone_sahi640,include_all,100,548,407,44829,551
visdrone,visdrone_sahi640,include_all,300,548,61,4133,551
visdrone,visdrone_sahi640,include_all,2000,548,0,0,551
visdrone,visdrone_sahi640,exclude_without_ignore_protection,100,548,407,44829,551
visdrone,visdrone_sahi640,exclude_without_ignore_protection,300,548,61,4133,551
visdrone,visdrone_sahi640,exclude_without_ignore_protection,2000,548,0,0,551
visdrone,visdrone_sahi640,exclude_with_ignore_protection,100,548,406,44690,549
visdrone,visdrone_sahi640,exclude_with_ignore_protection,300,548,61,4071,549
visdrone,visdrone_sahi640,exclude_with_ignore_protection,2000,548,0,0,549
visdrone,visdrone_baseline640,include_all,100,548,490,127144,806
visdrone,visdrone_baseline640,include_all,300,548,295,47804,806
visdrone,visdrone_baseline640,include_all,2000,548,0,0,806
visdrone,visdrone_baseline640,exclude_without_ignore_protection,100,548,490,127144,806
visdrone,visdrone_baseline640,exclude_without_ignore_protection,300,548,295,47804,806
visdrone,visdrone_baseline640,exclude_without_ignore_protection,2000,548,0,0,806
visdrone,visdrone_baseline640,exclude_with_ignore_protection,100,548,490,126813,796
visdrone,visdrone_baseline640,exclude_with_ignore_protection,300,548,295,47540,796
visdrone,visdrone_baseline640,exclude_with_ignore_protection,2000,548,0,0,796
uavdt,uavdt_tiling,include_all,100,305,272,81222,1066
uavdt,uavdt_tiling,include_all,300,305,186,34079,1066
uavdt,uavdt_tiling,include_all,2000,305,0,0,1066
uavdt,uavdt_tiling,exclude_without_ignore_protection,100,305,272,81222,1066
uavdt,uavdt_tiling,exclude_without_ignore_protection,300,305,186,34079,1066
uavdt,uavdt_tiling,exclude_without_ignore_protection,2000,305,0,0,1066
uavdt,uavdt_baseline640,include_all,100,305,292,170292,900
uavdt,uavdt_baseline640,include_all,300,305,259,115870,900
uavdt,uavdt_baseline640,include_all,2000,305,0,0,900
uavdt,uavdt_baseline640,exclude_without_ignore_protection,100,305,292,170292,900
uavdt,uavdt_baseline640,exclude_without_ignore_protection,300,305,259,115870,900
uavdt,uavdt_baseline640,exclude_without_ignore_protection,2000,305,0,0,900
