source,mode,threshold,policy,iou,max_dets,winner_candidate,runner_up_candidate,common_images,common_units,point_ap50_winner,point_ap50_runner_up,point_ap50_difference,ci95_low,ci95_high,winner_probability,replicates,resampling_unit
visdrone,absolute,24.0,include_all,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.7182570369109975,0.3638084282997412,0.3544486086112563,0.3385020235777332,0.36667557004102963,1.0,1000,image
visdrone,absolute,24.0,exclude_without_ignore_protection,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.7598214881769311,0.3872725336859909,0.37254895449094017,0.36109500997972593,0.38495618713178203,1.0,1000,image
visdrone,absolute,24.0,exclude_with_ignore_protection,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.7599875143846693,0.38730396617997137,0.3726835482046979,0.36100505711369774,0.3847560839656335,1.0,1000,image
visdrone,normalized,0.015,include_all,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.7182570369109975,0.3638084282997412,0.3544486086112563,0.33910990321809825,0.3656375328064102,1.0,1000,image
visdrone,normalized,0.015,exclude_without_ignore_protection,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.7640363155301113,0.38916897281451723,0.3748673427155941,0.36289752249465995,0.386358885202951,1.0,1000,image
visdrone,normalized,0.015,exclude_with_ignore_protection,0.5,100,visdrone_sahi640,visdrone_baseline640,548,548,0.764221813750588,0.38919609018116835,0.3750257235694196,0.3624911175341428,0.3874595577598472,1.0,1000,image
uavdt,absolute,24.0,include_all,0.5,100,uavdt_tiling,uavdt_baseline640,305,93,0.24931814067992886,0.21526920237176578,0.03404893830816308,-0.2963459340704462,0.10767905582757462,0.585,1000,sequence_proxy
uavdt,absolute,24.0,exclude_without_ignore_protection,0.5,100,uavdt_tiling,uavdt_baseline640,305,93,0.2420975884224911,0.2137825071600079,0.028315081262483194,-0.30995147250844984,0.10249591065707461,0.577,1000,sequence_proxy
uavdt,normalized,0.015,include_all,0.5,100,uavdt_tiling,uavdt_baseline640,305,93,0.24931814067992886,0.21526920237176578,0.03404893830816308,-0.30331613278562025,0.11058465014751095,0.604,1000,sequence_proxy
uavdt,normalized,0.015,exclude_without_ignore_protection,0.5,100,uavdt_tiling,uavdt_baseline640,305,93,0.1526071288044782,0.1511988382578097,0.0014082905466684947,-0.30317660638901317,0.07146237902787075,0.471,1000,sequence_proxy
