id,mode,threshold,confidence,iou,a,b,policy,common_images,resampling_unit,replicates,matching,point_f1_a,point_f1_b,point_difference_a_minus_b,ci95_low,ci95_high,probability_a_gt_b,total_neutralized_a,total_neutralized_b
headline_abs24,absolute,24.0,0.25,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,exclude_source_ignore_on,548,image,10000,valid_gt_first_coco_crowd,0.8181263679092964,0.7732464414337163,0.044879926475580034,0.039061573525633234,0.05058315072144052,1.0,348,514
headline_norm015,normalized,0.015,0.25,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,exclude_source_ignore_on,548,image,10000,valid_gt_first_coco_crowd,0.8741238222540997,0.8464691342573761,0.027654687996723548,0.023359461064916532,0.032117837373871284,1.0,347,509
observed_boundary_norm010_c030,normalized,0.01,0.3,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,exclude_source_ignore_on,548,image,10000,valid_gt_first_coco_crowd,0.8597043701799486,0.8595542496327092,0.00015012054723939627,-0.004350110640737229,0.004765670552152646,0.5301,275,371
observed_boundary_abs64_c035,absolute,64.0,0.35,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,exclude_source_ignore_on,548,image,10000,valid_gt_first_coco_crowd,0.4799858931405396,0.4790323440080993,0.000953549132440279,-0.004920475824314911,0.006766747108695203,0.6161,144,229
