source,mode,threshold,policy,iou,max_dets,winner_candidate,runner_up_candidate,common_images,common_units,point_ap50_winner,point_ap50_runner_up,point_ap50_difference,ci95_low,ci95_high,winner_probability,replicates,resampling_unit
visdrone,absolute,24.0,include_all,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.7301909718406304,0.4166395051713223,0.3135514666693081,0.3061579031580865,0.3061579031580865,1.0,1,image
visdrone,absolute,24.0,exclude_without_ignore_protection,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.7684561873542914,0.42019408895623567,0.3482620983980558,0.34250392919839256,0.34250392919839256,1.0,1,image
visdrone,absolute,24.0,exclude_with_ignore_protection,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.7686537463017945,0.42024823431314595,0.34840551198864855,0.3499643551330812,0.3499643551330812,1.0,1,image
visdrone,normalized,0.015,include_all,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.7301909718406304,0.4166395051713223,0.3135514666693081,0.3244374838414252,0.3244374838414252,1.0,1,image
visdrone,normalized,0.015,exclude_without_ignore_protection,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.7733569924343695,0.42642811913736767,0.34692887329700184,0.3427150797325694,0.3427150797325694,1.0,1,image
visdrone,normalized,0.015,exclude_with_ignore_protection,0.5,2000,visdrone_sahi640,visdrone_baseline640,548,548,0.773574972655616,0.4264890155408931,0.34708595711472295,0.3449169329950386,0.3449169329950386,1.0,1,image
uavdt,absolute,24.0,include_all,0.5,2000,uavdt_tiling,uavdt_baseline640,305,93,0.44885523954751444,0.3670070473571582,0.08184819219035622,-0.1400189994334662,-0.1400189994334662,0.0,1,sequence_proxy
uavdt,absolute,24.0,exclude_without_ignore_protection,0.5,2000,uavdt_tiling,uavdt_baseline640,305,93,0.4294833629045395,0.3614749884833885,0.06800837442115099,-0.1353327322766148,-0.1353327322766148,0.0,1,sequence_proxy
uavdt,normalized,0.015,include_all,0.5,2000,uavdt_tiling,uavdt_baseline640,305,93,0.44885523954751444,0.3670070473571582,0.08184819219035622,-0.15636722530471187,-0.15636722530471187,0.0,1,sequence_proxy
uavdt,normalized,0.015,exclude_without_ignore_protection,0.5,2000,uavdt_tiling,uavdt_baseline640,305,93,0.25655159753691176,0.23987061603709028,0.016680981499821473,0.051128003265385746,0.051128003265385746,1.0,1,sequence_proxy
