source,candidate,mode,threshold,f1_min,f1_max,f1_policy_band,images,policies_evaluated
aitod,aitod_baseline640,absolute,24.0,0.06482614971405602,0.39515503319060896,0.3303288834765529,1869,3
uavdt,uavdt_baseline640,absolute,24.0,0.33674555728441574,0.3452675063788425,0.008521949094426773,305,3
uavdt,uavdt_tiling,absolute,24.0,0.5215847210164942,0.5363214837712519,0.01473676275475766,305,3
uavdt,uavdt_yolo11m704,absolute,24.0,0.07627486751802624,0.07983231568395152,0.0035574481659252782,305,3
uavdt,uavdt_yolo11n640,absolute,24.0,0.011328897680273333,0.011904761904761906,0.0005758642244885724,305,3
visdrone,visdrone_baseline640,absolute,24.0,0.35912234751650696,0.4393236219896054,0.08020127447309844,548,3
visdrone,visdrone_sahi640,absolute,24.0,0.6816041952207853,0.7746811525743976,0.09307695735361232,548,3
aitod,aitod_baseline640,normalized,0.015,0.2592705999903305,0.39515503319060896,0.1358844332002785,1869,3
uavdt,uavdt_baseline640,normalized,0.015,0.2718000472396986,0.3452675063788425,0.07346745913914393,305,3
uavdt,uavdt_tiling,normalized,0.015,0.4064328752871819,0.5363214837712519,0.12988860848406997,305,3
uavdt,uavdt_yolo11m704,normalized,0.015,0.07627486751802624,0.09448275862068965,0.01820789110266341,305,3
uavdt,uavdt_yolo11n640,normalized,0.015,0.011328897680273333,0.015160630489712428,0.0038317328094390948,305,3
visdrone,visdrone_baseline640,normalized,0.015,0.3823710831482853,0.4393236219896054,0.05695253884132012,548,3
visdrone,visdrone_sahi640,normalized,0.015,0.7133827816098589,0.7746811525743976,0.06129837096453872,548,3
