source,candidate,mode,threshold,small_object_policy,matching_greedy,confidence,iou,tp_greedy,fp_greedy,fn_greedy,images,precision_greedy,recall_greedy,f1_greedy,matching_hungarian,tp_hungarian,fp_hungarian,fn_hungarian,precision_hungarian,recall_hungarian,f1_hungarian,f1_delta_hungarian_minus_greedy
visdrone,visdrone_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.25,15004,36261,2036,548,0.29267531454208523,0.8805164319248826,0.4393236219896054,hungarian_lexicographic_iou,15031,36234,2009,0.29320198966156247,0.8821009389671362,0.4401141936900666,0.0007905717004612067
visdrone,visdrone_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.5,14388,36877,2652,548,0.28065931922364185,0.8443661971830986,0.42128687504575063,hungarian_lexicographic_iou,14396,36869,2644,0.2808153711108944,0.8448356807511737,0.421521118512554,0.00023424346680339658
visdrone,visdrone_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,11449,39816,1047,548,0.22332975714425046,0.9162131882202305,0.35912234751650696,hungarian_lexicographic_iou,11458,39807,1038,0.22350531551740954,0.916933418693982,0.3594046517463653,0.00028230422985836556
visdrone,visdrone_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,11146,40119,1350,548,0.21741929191456158,0.8919654289372599,0.34961810511127495,hungarian_lexicographic_iou,11151,40114,1345,0.21751682434409442,0.892365556978233,0.34977494079452953,0.00015683568325458586
visdrone,visdrone_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,11449,39765,1047,548,0.22355215370797046,0.9162131882202305,0.35940982577303404,hungarian_lexicographic_iou,11458,39756,1038,0.22372788690592416,0.916933418693982,0.3596923559880709,0.00028253021503688025
visdrone,visdrone_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,11146,40068,1350,548,0.21763580271019642,0.8919654289372599,0.34989797520012555,hungarian_lexicographic_iou,11151,40063,1345,0.21773343226461514,0.892365556978233,0.3500549364307016,0.00015696123057606925
visdrone,visdrone_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.25,15004,36261,2036,548,0.29267531454208523,0.8805164319248826,0.4393236219896054,hungarian_lexicographic_iou,15031,36234,2009,0.29320198966156247,0.8821009389671362,0.4401141936900666,0.0007905717004612067
visdrone,visdrone_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.5,14388,36877,2652,548,0.28065931922364185,0.8443661971830986,0.42128687504575063,hungarian_lexicographic_iou,14396,36869,2644,0.2808153711108944,0.8448356807511737,0.421521118512554,0.00023424346680339658
visdrone,visdrone_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,12398,38867,1185,548,0.24184141226957964,0.9127585953029522,0.3823710831482853,hungarian_lexicographic_iou,12408,38857,1175,0.24203647712864526,0.9134948096885813,0.382679496669134,0.0003084135208487049
visdrone,visdrone_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,12043,39222,1540,548,0.23491660977274945,0.8866229846131194,0.3714224031581545,hungarian_lexicographic_iou,12048,39217,1535,0.23501414220228226,0.8869910918059339,0.37157660991857877,0.00015420676042426917
