candidate,short_candidate,mode,threshold,contract,common_images,f1_at_025,max_f1,max_f1_confidence,ap50,ap_max_dets,rank_f1_at_025,rank_max_f1,rank_ap50
visdrone_control_yolo11m_hf640,Y11m,absolute,24.0,S,548,0.8926558095834638,0.897940876656473,0.35,0.923065158163156,2000,1,1,1
visdrone_control_asd1280,ASD,absolute,24.0,S,548,0.8697195324254465,0.8816118839509213,0.35,0.9217326077902102,2000,2,2,2
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute,24.0,S,548,0.8553871032949262,0.8590895790661707,0.3,0.8985252159525073,2000,3,3,3
visdrone_control_baseline1280,B-1280,absolute,24.0,S,548,0.8228239553477146,0.8456147802081121,0.4,0.879803071903052,2000,4,4,4
visdrone_control_baseline640,B-640,absolute,24.0,S,548,0.8118506814141813,0.8208979998340111,0.3,0.8378886502157794,2000,5,5,5
visdrone_control_yolo11m_hf640,Y11m,normalized,0.015,S,548,0.8830775311244319,0.8830775311244319,0.25,0.8986028417223055,2000,1,1,2
visdrone_control_asd1280,ASD,normalized,0.015,S,548,0.867309973391466,0.873206772023987,0.3,0.9096266332737558,2000,2,2,1
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized,0.015,S,548,0.8488504591460554,0.8489313640312771,0.3,0.8898892905088942,2000,3,3,3
visdrone_control_baseline1280,B-1280,normalized,0.015,S,548,0.8263070200257788,0.8400847052394289,0.35,0.8704470131219185,2000,4,4,4
visdrone_control_baseline640,B-640,normalized,0.015,S,548,0.806742245420393,0.8074004126884202,0.3,0.8087920167680691,2000,5,5,5
