source,candidate,covered_images,denominator_images,coverage_conditioned,mode,threshold,retained_gt_covered,valid_gt_covered,retained_fraction_covered,I,O,N,F1_policy_band
VisDrone,B-640,548,548,False,absolute,24.0,12496,17040,0.7333333333333333,0.7718649913771864,0.7358922944714982,0.7438291711907347,0.03597269690568827
VisDrone,B-640,548,548,False,normalized,0.015,15297,17040,0.8977112676056338,0.7718649913771864,0.7896775033356113,0.7973057335304747,0.025440742153288287
Local UAVDT,UAVDT-Base,305,305,False,absolute,24.0,10516,11054,0.9513298353537181,0.3452675063788425,0.3367455572844157,0.3367455572844157,0.008521949094426828
Local UAVDT,UAVDT-Base,305,305,False,normalized,0.015,10767,11054,0.9740365478559797,0.3452675063788425,0.3430084529992871,0.3430084529992871,0.002259053379555398
AI-TOD,AI-TOD-Base,1869,2804,True,absolute,24.0,2033,16900,0.12029585798816568,0.3951550331906089,0.06482614971405602,0.06482614971405602,0.33032888347655287
AI-TOD,AI-TOD-Base,1869,2804,True,normalized,0.015,9353,16900,0.5534319526627219,0.3951550331906089,0.25927059999033053,0.25927059999033053,0.13588443320027838
