source_a,source_b,native_class_jaccard,shared_vehicle_supported_a,shared_vehicle_supported_b,median_abs_scale_diff,median_normalized_scale_diff,vehicle_scale_wasserstein,comparison_boundary
visdrone,visdrone,1.0,True,True,0.0,0.0,0.0,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
visdrone,uavdt,1.0,True,True,7.999039999999923,0.013396470588235305,0.017397315379544833,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
visdrone,aitod,0.0,True,True,27.0,0.0236764705882352,0.03147928993725254,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
visdrone,dota_v2_val,0.0,True,True,23.0,0.006020220588235203,0.006269946393668251,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
uavdt,visdrone,1.0,True,True,7.999039999999923,0.013396470588235305,0.017397315379544833,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
uavdt,uavdt,1.0,True,True,0.0,0.0,0.0,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
uavdt,aitod,0.0,True,True,19.000960000000077,0.010279999999999897,0.015054932904824271,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
uavdt,dota_v2_val,0.0,True,True,15.000960000000077,0.0073762500000001015,0.014734726436440086,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
aitod,visdrone,0.0,True,True,27.0,0.0236764705882352,0.03147928993725254,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
aitod,uavdt,0.0,True,True,19.000960000000077,0.010279999999999897,0.015054932904824271,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
aitod,aitod,1.0,True,True,0.0,0.0,0.0,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
aitod,dota_v2_val,0.0,True,True,4.0,0.01765625,0.029482575874280707,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
dota_v2_val,visdrone,0.0,True,True,23.0,0.006020220588235203,0.006269946393668251,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
dota_v2_val,uavdt,0.0,True,True,15.000960000000077,0.0073762500000001015,0.014734726436440086,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
dota_v2_val,aitod,0.0,True,True,4.0,0.01765625,0.029482575874280707,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
dota_v2_val,dota_v2_val,1.0,True,True,0.0,0.0,0.0,"equal-box-weight empirical 1-Wasserstein distance on normalized horizontal-box max side; observed artifact distance, not a quality score"
