metric,mode,threshold,contract,iou,candidate_a,candidate_b,point_a,point_b,point_difference,ci95_low,ci95_high,probability_a_gt_b,resampling_unit,sampling_units,common_images,replicates,family_id,family_size,simultaneous_method,bootstrap_standard_error,max_t_critical_95,simultaneous_ci95_low,simultaneous_ci95_high,max_t_adjusted_p_two_sided,simultaneous_direction
max-F1,absolute,24.0,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.897940876656473,0.8816118839509213,0.01632899270555177,0.011888262475095227,0.02129484868182981,1.0,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.0024236042316591426,2.7439550882331,0.009678731542227393,0.02297925386887615,9.999000099990002e-05,Y11m>ASD
AP,absolute,24.0,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.945277294900225,0.9371605587130423,0.008116736187182783,0.0051411327827605244,0.011954690403466995,1.0,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.0017433185494388516,2.7439550882331,0.0033331483830388985,0.012900323991326667,9.999000099990002e-05,Y11m>ASD
max-F1,absolute,24.0,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8885933928942448,0.8744816259494971,0.014111766944747695,0.00985750265384772,0.01907273462726245,1.0,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.002383168846014619,2.7439550882331,0.007572458663607275,0.020651075225888115,9.999000099990002e-05,Y11m>ASD
AP,absolute,24.0,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.923065158163156,0.9217326077902102,0.0013325503729458843,-0.003287896336749452,0.005224667249987504,0.6794,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.0021553348099584654,2.7439550882331,-0.004581591545685568,0.007246692291577337,0.9842015798420158,unresolved
max-F1,normalized,0.015,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.873206772023987,0.009870759100444881,0.006004773637085051,0.014038257287938779,1.0,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.0020410261304774427,2.7439550882331,0.004270275064504587,0.015471243136385177,9.999000099990002e-05,Y11m>ASD
AP,normalized,0.015,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.9310173308108559,0.9314972493968029,-0.0004799185859469812,-0.003033618922793532,0.004709744920943141,0.5815,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.0020373272037369455,2.7439550882331,-0.006070252933036687,0.0051104157611427245,0.9998000199980002,unresolved
max-F1,normalized,0.015,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8692167822749006,0.8638568208210944,0.005359961453806239,0.0012663531216912161,0.01030661434681994,0.9944,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.002304236906154366,2.7439550882331,-0.0009627611293305293,0.011682684036943006,0.12498750124987501,unresolved
AP,normalized,0.015,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8986028417223055,0.9096266332737558,-0.01102379155145028,-0.018053588617291786,-0.005730656376801798,0.0,sequence,76,548,10000,two_supports_x_two_ious_x_two_metrics,8,single_step_cluster_bootstrap_max_t,0.003216759220918412,2.7439550882331,-0.0198504343833101,-0.0021971487195904596,0.0081991800819918,Y11m<ASD
