candidate,short_candidate,mode,threshold,contract,common_images,iou,operating_confidence,f1_at_025,max_f1,max_f1_confidence,ap,ap_max_dets
visdrone_control_asd1280,ASD,absolute,24.0,S,548,0.25,0.25,0.8697195324254465,0.8816118839509213,0.35,0.9371605587130423,2000
visdrone_control_yolo11m_hf640,Y11m,absolute,24.0,S,548,0.25,0.25,0.8926558095834638,0.897940876656473,0.35,0.945277294900225,2000
visdrone_control_asd1280,ASD,absolute,24.0,S,548,0.5,0.25,0.8577053736874614,0.8744816259494971,0.35,0.9217326077902102,2000
visdrone_control_yolo11m_hf640,Y11m,absolute,24.0,S,548,0.5,0.25,0.8799028251244073,0.8885933928942448,0.4,0.923065158163156,2000
visdrone_control_asd1280,ASD,normalized,0.015,S,548,0.25,0.25,0.867309973391466,0.873206772023987,0.3,0.9314972493968029,2000
visdrone_control_yolo11m_hf640,Y11m,normalized,0.015,S,548,0.25,0.25,0.8830775311244319,0.8830775311244319,0.25,0.9310173308108559,2000
visdrone_control_asd1280,ASD,normalized,0.015,S,548,0.5,0.25,0.8523769808173478,0.8638568208210944,0.35,0.9096266332737558,2000
visdrone_control_yolo11m_hf640,Y11m,normalized,0.015,S,548,0.5,0.25,0.8664426434736773,0.8692167822749006,0.3,0.8986028417223055,2000
