source,candidate,coverage_conditioned,denominator_images,mode,threshold,contract,covered_images,valid_gt,support_retained_gt,scored_gt,tp,fp,fn,neutralized,retained_fraction_covered,f1
AI-TOD,AI-TOD-Base,True,2804,absolute,24.0,A,1869,16900,2033,16900,13751,38947,3149,0,0.12029585798816568,0.3951550331906089
AI-TOD,AI-TOD-Base,True,2804,absolute,24.0,F,1869,16900,2033,2033,1774,50924,259,0,0.12029585798816568,0.06482614971405602
AI-TOD,AI-TOD-Base,True,2804,absolute,24.0,R,1869,16900,2033,2033,1774,20692,259,30232,0.12029585798816568,0.14482223764235275
AI-TOD,AI-TOD-Base,True,2804,absolute,24.0,S,1869,16900,2033,2033,1774,20692,259,30232,0.12029585798816568,0.14482223764235275
AI-TOD,AI-TOD-Base,True,2804,normalized,0.015,A,1869,16900,9353,16900,13751,38947,3149,0,0.5534319526627219,0.3951550331906089
AI-TOD,AI-TOD-Base,True,2804,normalized,0.015,F,1869,16900,9353,9353,8044,44654,1309,0,0.5534319526627219,0.25927059999033053
AI-TOD,AI-TOD-Base,True,2804,normalized,0.015,R,1869,16900,9353,9353,8044,32067,1309,12587,0.5534319526627219,0.3252466440239366
AI-TOD,AI-TOD-Base,True,2804,normalized,0.015,S,1869,16900,9353,9353,8044,32067,1309,12587,0.5534319526627219,0.3252466440239366
UAVDT,UAVDT-Base,False,305,absolute,24.0,A,305,11054,10516,11054,8525,29803,2529,0,0.9513298353537181,0.3452675063788425
UAVDT,UAVDT-Base,False,305,absolute,24.0,F,305,11054,10516,10516,8224,30104,2292,0,0.9513298353537181,0.3367455572844157
UAVDT,UAVDT-Base,False,305,absolute,24.0,R,305,11054,10516,10516,8224,29557,2292,547,0.9513298353537181,0.34055945503861523
UAVDT,UAVDT-Base,False,305,absolute,24.0,S,305,11054,10516,10516,8224,29557,2292,547,0.9513298353537181,0.34055945503861523
UAVDT,UAVDT-Base,False,305,normalized,0.015,A,305,11054,10767,11054,8525,29803,2529,0,0.9740365478559797,0.3452675063788425
UAVDT,UAVDT-Base,False,305,normalized,0.015,F,305,11054,10767,10767,8420,29908,2347,0,0.9740365478559797,0.3430084529992871
UAVDT,UAVDT-Base,False,305,normalized,0.015,R,305,11054,10767,10767,8420,29715,2347,193,0.9740365478559797,0.3443621937753057
UAVDT,UAVDT-Base,False,305,normalized,0.015,S,305,11054,10767,10767,8420,29715,2347,193,0.9740365478559797,0.3443621937753057
VisDrone,B-640,False,548,absolute,24.0,A,548,17040,12496,17040,12532,2900,4508,0,0.7333333333333333,0.7718649913771864
VisDrone,B-640,False,548,absolute,24.0,F,548,17040,12496,12496,10276,5156,2220,0,0.7333333333333333,0.7358922944714982
VisDrone,B-640,False,548,absolute,24.0,R,548,17040,12496,12496,10276,2836,2220,2320,0.7333333333333333,0.802561699468916
VisDrone,B-640,False,548,absolute,24.0,S,548,17040,12496,12496,10276,2543,2220,2613,0.7333333333333333,0.8118506814141813
VisDrone,B-640,False,548,normalized,0.015,A,548,17040,15297,17040,12532,2900,4508,0,0.8977112676056338,0.7718649913771864
VisDrone,B-640,False,548,normalized,0.015,F,548,17040,15297,15297,12133,3299,3164,0,0.8977112676056338,0.7896775033356113
VisDrone,B-640,False,548,normalized,0.015,R,548,17040,15297,15297,12133,2943,3164,356,0.8977112676056338,0.7989332630955125
VisDrone,B-640,False,548,normalized,0.015,S,548,17040,15297,15297,12133,2649,3164,650,0.8977112676056338,0.806742245420393
