source,candidate,coverage_conditioned,mode,threshold,contract_min,contract_max,contract_range
AI-TOD,AI-TOD-Base,True,absolute,24.0,0.06482614971405602,0.3951550331906089,0.33032888347655287
AI-TOD,AI-TOD-Base,True,normalized,0.015,0.25927059999033053,0.3951550331906089,0.13588443320027838
UAVDT,UAVDT-Base,False,absolute,24.0,0.3367455572844157,0.3452675063788425,0.008521949094426828
UAVDT,UAVDT-Base,False,normalized,0.015,0.3430084529992871,0.3452675063788425,0.002259053379555398
VisDrone,B-640,False,absolute,24.0,0.7358922944714982,0.8118506814141813,0.07595838694268309
VisDrone,B-640,False,normalized,0.015,0.7718649913771864,0.806742245420393,0.03487725404320652
