source,candidate,coverage_conditioned,mode,threshold,transition,component,delta_tp,delta_fp,delta_fn,delta_neutralized,f1_before,f1_after,delta_f1
AI-TOD,AI-TOD-Base,True,absolute,24.0,A->F,target,-11977,11977,-2890,0,0.3951550331906089,0.06482614971405602,-0.33032888347655287
AI-TOD,AI-TOD-Base,True,absolute,24.0,F->R,removed,0,-30232,0,30232,0.06482614971405602,0.14482223764235275,0.07999608792829672
AI-TOD,AI-TOD-Base,True,absolute,24.0,R->S,source,0,0,0,0,0.14482223764235275,0.14482223764235275,0.0
AI-TOD,AI-TOD-Base,True,normalized,0.015,A->F,target,-5707,5707,-1840,0,0.3951550331906089,0.25927059999033053,-0.13588443320027838
AI-TOD,AI-TOD-Base,True,normalized,0.015,F->R,removed,0,-12587,0,12587,0.25927059999033053,0.3252466440239366,0.06597604403360607
AI-TOD,AI-TOD-Base,True,normalized,0.015,R->S,source,0,0,0,0,0.3252466440239366,0.3252466440239366,0.0
UAVDT,UAVDT-Base,False,absolute,24.0,A->F,target,-301,301,-237,0,0.3452675063788425,0.3367455572844157,-0.008521949094426828
UAVDT,UAVDT-Base,False,absolute,24.0,F->R,removed,0,-547,0,547,0.3367455572844157,0.34055945503861523,0.0038138977541995467
UAVDT,UAVDT-Base,False,absolute,24.0,R->S,source,0,0,0,0,0.34055945503861523,0.34055945503861523,0.0
UAVDT,UAVDT-Base,False,normalized,0.015,A->F,target,-105,105,-182,0,0.3452675063788425,0.3430084529992871,-0.002259053379555398
UAVDT,UAVDT-Base,False,normalized,0.015,F->R,removed,0,-193,0,193,0.3430084529992871,0.3443621937753057,0.001353740776018575
UAVDT,UAVDT-Base,False,normalized,0.015,R->S,source,0,0,0,0,0.3443621937753057,0.3443621937753057,0.0
VisDrone,B-640,False,absolute,24.0,A->F,target,-2256,2256,-2288,0,0.7718649913771864,0.7358922944714982,-0.03597269690568827
VisDrone,B-640,False,absolute,24.0,F->R,removed,0,-2320,0,2320,0.7358922944714982,0.802561699468916,0.0666694049974178
VisDrone,B-640,False,absolute,24.0,R->S,source,0,-293,0,293,0.802561699468916,0.8118506814141813,0.009288981945265284
VisDrone,B-640,False,normalized,0.015,A->F,target,-399,399,-1344,0,0.7718649913771864,0.7896775033356113,0.017812511958424815
VisDrone,B-640,False,normalized,0.015,F->R,removed,0,-356,0,356,0.7896775033356113,0.7989332630955125,0.009255759759901228
VisDrone,B-640,False,normalized,0.015,R->S,source,0,-294,0,294,0.7989332630955125,0.806742245420393,0.007808982324880476
