source,candidate,mode,threshold,policy,confidence,iou,images,tp,fp,fn,precision,recall,f1
visdrone,visdrone_baseline640,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,548,11442,31483,1054,0.2665579499126383,0.9156530089628682,0.41291207304090505
visdrone,visdrone_baseline640,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,548,12392,33114,1191,0.272315738583923,0.9123168666715747,0.41943508944135116
visdrone,visdrone_sahi640,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,548,11433,6986,1063,0.620717737119279,0.9149327784891165,0.7396409509946628
visdrone,visdrone_sahi640,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,548,12357,6928,1226,0.6407570650764843,0.9097401163218729,0.7519167579408544
uavdt,uavdt_baseline640,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,305,8224,29597,2292,0.21744533460246954,0.7820464054773678,0.34027763411051576
uavdt,uavdt_baseline640,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,305,6325,26872,1918,0.1905292646925927,0.7673177241295644,0.30526061776061775
uavdt,uavdt_yolo11n640,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,305,63,5,10453,0.9264705882352942,0.00599087105363256,0.011904761904761906
uavdt,uavdt_yolo11n640,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,305,63,5,8180,0.9264705882352942,0.007642848477496057,0.015160630489712428
uavdt,uavdt_yolo11m704,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,305,438,18,10078,0.9605263157894737,0.04165081780144542,0.07983959168793292
uavdt,uavdt_yolo11m704,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,305,411,34,7832,0.9235955056179775,0.0498604876865219,0.09461325966850828
uavdt,uavdt_tiling,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,305,6609,7925,3907,0.45472684739232144,0.6284709014834537,0.5276646706586826
uavdt,uavdt_tiling,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,305,4684,7894,3559,0.37239624741612337,0.568239718549072,0.4499303587723933
aitod,aitod_baseline640,absolute,24.0,exclude_and_ignore_removed,0.25,0.25,1869,1769,23477,264,0.07007050621880694,0.8701426463354648,0.12969683639429597
aitod,aitod_baseline640,normalized,0.015,exclude_and_ignore_removed,0.25,0.25,1869,8031,33356,1322,0.19404643970328847,0.8586549770127232,0.3165549862041782
