scale_mode,threshold,candidate,candidate_short,exclude_source_ignore_off,exclude_source_ignore_on,include_all,F1_policy_band
absolute,24.0,visdrone_control_baseline640,B-640,0.7358922944714982,0.7438291711907347,0.7718649913771864,0.03597269690568827
absolute,24.0,visdrone_control_baseline1280,B-1280,0.703624871001032,0.7260565723793677,0.7965796579657966,0.09295478696476456
absolute,24.0,visdrone_control_yolo11m_hf640,Y11m,0.8080371380984444,0.8181263679092964,0.8389952080090346,0.030958069910590247
absolute,24.0,visdrone_control_asd1280,ASD,0.759850348848967,0.7732464414337163,0.8357057258936661,0.07585537704469913
absolute,24.0,visdrone_control_yolo11n_p2_1280,Y11n-P2,0.7473420225354103,0.760149457498024,0.8172880840054786,0.06994606147006832
normalized,0.015,visdrone_control_baseline640,B-640,0.7896775033356113,0.7973057335304747,0.7718649913771864,0.025440742153288287
normalized,0.015,visdrone_control_baseline1280,B-1280,0.777426129137212,0.7999756513270027,0.7965796579657966,0.02254952218979067
normalized,0.015,visdrone_control_yolo11m_hf640,Y11m,0.8643455834945196,0.8741238222540997,0.8389952080090346,0.03512861424506508
normalized,0.015,visdrone_control_asd1280,ASD,0.8331998768093625,0.8464691342573761,0.8357057258936661,0.01326925744801366
normalized,0.015,visdrone_control_yolo11n_p2_1280,Y11n-P2,0.8140910259706865,0.8266588335128431,0.8172880840054786,0.012567807542156584
