source,candidate,scale_mode,scale_threshold,small_object_policy,confidence,iou,matching,tp,fp,fn,neutralized_predictions,f1,images
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.5,0.5,greedy_valid_gt_first_coco_crowd,10882,1038,3727,130,0.8203852387952807,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.1,0.25,greedy_valid_gt_first_coco_crowd,15606,9065,1434,0,0.7482918175061735,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.1,0.5,greedy_valid_gt_first_coco_crowd,15080,9591,1960,0,0.7230706528253937,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.15,0.25,greedy_valid_gt_first_coco_crowd,15140,5912,1900,0,0.7949175679932794,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.15,0.5,greedy_valid_gt_first_coco_crowd,14717,6335,2323,0,0.7727081801953166,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.2,0.25,greedy_valid_gt_first_coco_crowd,14712,4067,2328,0,0.8214634691085737,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.2,0.5,greedy_valid_gt_first_coco_crowd,14339,4440,2701,0,0.8006365336832407,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.25,0.25,greedy_valid_gt_first_coco_crowd,14296,2877,2744,0,0.8357057258936661,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.25,0.5,greedy_valid_gt_first_coco_crowd,14004,3169,3036,0,0.8186361909215795,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.3,0.25,greedy_valid_gt_first_coco_crowd,13850,2069,3190,0,0.840438120088595,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.3,0.5,greedy_valid_gt_first_coco_crowd,13617,2302,3423,0,0.8262993416062381,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.35,0.25,greedy_valid_gt_first_coco_crowd,13360,1477,3680,0,0.8382219154876557,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.35,0.5,greedy_valid_gt_first_coco_crowd,13199,1638,3841,0,0.8281205885120934,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.4,0.25,greedy_valid_gt_first_coco_crowd,12798,1015,4242,0,0.8296113830097559,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.4,0.5,greedy_valid_gt_first_coco_crowd,12672,1141,4368,0,0.8214436197452436,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.5,0.25,greedy_valid_gt_first_coco_crowd,11579,471,5461,0,0.7960811275352355,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.5,0.5,greedy_valid_gt_first_coco_crowd,11533,517,5507,0,0.792918528704022,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.1,0.25,greedy_valid_gt_first_coco_crowd,12872,11799,668,0,0.6737326947737563,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.1,0.5,greedy_valid_gt_first_coco_crowd,12589,12082,951,0,0.6589202062233388,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.15,0.25,greedy_valid_gt_first_coco_crowd,12616,8436,924,0,0.7294172062904718,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.15,0.5,greedy_valid_gt_first_coco_crowd,12377,8675,1163,0,0.7155989824236818,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.2,0.25,greedy_valid_gt_first_coco_crowd,12374,6405,1166,0,0.765741514279526,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.2,0.5,greedy_valid_gt_first_coco_crowd,12155,6624,1385,0,0.7521891147622142,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.25,0.25,greedy_valid_gt_first_coco_crowd,12135,5038,1405,0,0.7902191254517631,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.25,0.5,greedy_valid_gt_first_coco_crowd,11950,5223,1590,0,0.7781721095301664,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.3,0.25,greedy_valid_gt_first_coco_crowd,11856,4063,1684,0,0.8049153060185342,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.3,0.5,greedy_valid_gt_first_coco_crowd,11714,4205,1826,0,0.7952747886893649,548
