scale_mode,scale_threshold,small_object_policy,confidence,iou,candidate_a,candidate_b,f1_difference_a_minus_b
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.037190525496052285
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.04000020232121182
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.018070974507786386
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,-0.018565748254314784
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.09575647607157889
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.03768529924258068
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.0771907278172641
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.0191195509882659
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.058071176828998206
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.064926143247799
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.05908641027840689
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.03809460704179224
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.015656571648629214
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,-0.0058397329693921085
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.10302075028959123
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.04926957159916978
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.09718101732019913
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.04342983862977767
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.05375117869042145
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.04995292678129315
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.0418788375729201
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.030782750280005877
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.022777821650219243
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,-0.008074089208373048
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.08073567706129903
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.027175105131073907
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.07266158785292598
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.01910101592270086
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.05356057193022512
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.05885372290514457
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.059287611953636965
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.029331632642929928
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.020241300860591727
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.0004338890484923974
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.0881853555480745
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.03861242204455284
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.08861924459656689
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.03904631109304524
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.049572933503521655
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.04301206850125394
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.051196233632421095
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.02700130521982591
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.029124212041874875
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,0.008184165131167154
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.07001337372107985
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.013887856459379067
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.078197538852247
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.02207202159054622
absolute,16.0,exclude_source_ignore_off,0.35,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.056125517261700786
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.05168855935182881
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.06501155175898887
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.024210368627126555
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.027838442347219217
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.013322992407160061
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.07589892797895537
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.023850117004609594
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.08922192038611543
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.037173109411769656
absolute,16.0,exclude_source_ignore_off,0.35,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.05204881097434577
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.039592882525450235
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.0639085981582529
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.025320872354728352
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.037659019723168874
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,0.02431571563280266
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.06491375488017859
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.0019338628022813609
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.08922947051298125
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.02624957843508402
absolute,16.0,exclude_source_ignore_off,0.4,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.06297989207789723
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.04624317206786821
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.07246285990717494
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.023351860053637097
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.03604347898918725
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.026219687839306727
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.0695950321215053
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,-0.01019969307868096
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.09581471996081203
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.03641938091798769
absolute,16.0,exclude_source_ignore_off,0.4,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.05939533904282435
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.039324493451069586
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.09504537455654383
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.028835179481650264
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.056051410949978786
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,0.05572088110547424
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.06815967293271985
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,0.0167269174989092
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.12388055403819409
