scale_mode,scale_threshold,small_object_policy,confidence,iou,winner,runner_up,winner_margin,winner_f1,rank_order
absolute,16.0,exclude_source_ignore_off,0.1,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.09898447280405087,0.8027522935779816,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.1,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.09316019328865233,0.7794636556104446,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.15,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.07092161249227869,0.8289485887408415,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.15,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.0653614274947909,0.8077410579033605,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.2,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.0518962589979407,0.8455945937289818,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.2,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.049291459991074094,0.8275950421163886,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.25,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.04000020232121182,0.856059607015693,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.25,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.03809460704179224,0.8404984834498219,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.3,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.030782750280005877,0.8601197523764419,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline640 > visdrone_control_baseline1280
absolute,16.0,exclude_source_ignore_off,0.3,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.029331632642929928,0.8474002909238524,visdrone_control_yolo11m_hf640 > visdrone_control_asd1280 > visdrone_control_yolo11n_p2_1280 > visdrone_control_baseline1280 > visdrone_control_baseline640
